"Beginn";"Ende";"Bezeichnung";"Bemerkungen"
"01.11.2021";"02.11.2021";"Allerheiligen";
"08.12.2021";"08.12.2021";"Mariä Empfängnis";
"24.12.2021";"06.01.2022";"Weihnachtsferien";
"21.02.2022";"26.02.2022";"Semesterferien";
"09.04.2022";"18.04.2022";"Osterferien";
"26.05.2022";"26.05.2022";"Auffahrtsferien";
"04.06.2022";"06.06.2022";"Pfingstferien";
"16.06.2022";"16.06.2022";"Fronleichnam";
"09.07.2022";"11.09.2022";"Sommerferien";
"26.10.2022";"26.10.2022";"Nationalfeiertag Oesterreich";
"01.11.2022";"02.11.2022";"Allerheiligen";
"08.12.2022";"08.12.2022";"Mariä Empfängnis";
"24.12.2022";"06.01.2023";"Weihnachtsferien";
"20.02.2023";"25.02.2023";"Semesterferien";
"01.04.2023";"10.04.2023";"Osterferien";
"01.05.2023";"01.05.2023";"Tag der Arbeit";
"18.05.2023";"18.05.2023";"Auffahrtsferien";
"27.05.2023";"29.05.2023";"Pfingstferien";
"08.06.2023";"08.06.2023";"Fronleichnam";
"08.07.2023";"10.09.2023";"Sommerferien";
"15.08.2023";"15.08.2023";"Mariä Himmelfahrt";
"26.10.2023";"26.10.2023";"Nationalfeiertag Oesterreich";
"27.10.2023";"31.10.2023";"Herbstferien";
"01.11.2023";"02.11.2023";"Allerheiligen";
"08.12.2023";"08.12.2023";"Mariä Empfängnis";
"24.12.2023";"06.01.2024";"Weihnachtsferien";
